,comment,vid,postdate,vrate,likeCount
313,ا,zBss1k45Nlw,2020-02-18T11:35:06.000Z,none,0
314,صوتك حلو جدا لكن بلاش تغمضي عنيكي طوال مده الاغنية ،خاطبي جمهورك بعنيكي  يا امال فهي جزء من ايصال الاحساس بجانب جمال الصوت,6V5GfHACjlI,2020-02-18T11:31:34.000Z,none,0
315,المطرب التاني صوتو أحسن و محترم أوي,vOh7FtzLj-M,2020-02-18T11:24:46.000Z,none,0
316,الدولة كانت جاهزة .. بس دخلوا صينية من ووهان على مصر ..,MRN_AghHhPg,2020-02-18T11:13:28.000Z,none,0
317,مو كل واحد تحقق حلمو تحقق كل شي كان حجابك لابقلك اكتر واذا كنتي مغنية,lmNNjAGjQaU,2020-02-18T11:11:59.000Z,none,1
318,ضحكة ساره درزاوى لوحدها تجنن,4gxJwmcWcyM,2020-02-18T11:09:32.000Z,none,0
319,في,5HxgrsxRM3A,2020-02-18T11:04:04.000Z,none,0
320,أسأل الله أن يهديك إلى طريقه المستقيم ويبعدك عن الضلالة يارب,Y0GAWWQa4eQ,2020-02-18T11:02:02.000Z,none,0
321,فن هابط,vOh7FtzLj-M,2020-02-18T11:00:14.000Z,none,0
322,اي حد يتكلمله ياعمرو افهم بقا وزير بنت امير ابن شيخ ابن رئيس دوله ابن رجل اعمال,mg_nFaZsKZM,2020-02-18T10:59:54.000Z,none,0
323,ههههههههههه بعد ما شالت بدور على اللي....... كه,mg_nFaZsKZM,2020-02-18T10:49:35.000Z,none,0
324,ربنا يفك كربكو,Vf6H7PSxjFg,2020-02-18T10:45:52.000Z,none,0
325,يعني فعلا انتو شعب يحير يعني لو هاني شاكر وافق بالكلمات دي خمور وحشيش كنتو علقتو وقولتو ده بيساعد علي الفساد وجيل مش ناقص ولو منعهم تقولو جه علي الغلبان خلي الناس تاكل عيش صح ولا ايه ،😶,Vf6H7PSxjFg,2020-02-18T10:31:40.000Z,none,0
326,المفروض اللي يشغل اغنية مهرجان في بيته او عربيته يتمسك ويحبس 3 سنين,eeWW-g_LHo4,2020-02-18T10:23:42.000Z,none,18
327,"بالنسبة للسذج من يتملقون اليهود.....و يهينون كرامتهم ....و يتوهمون ان اليهود ملائكة ..........احب ان اخبرك ان تقريبا نصف اليهود هم من اليهود الشرقيين اي يهود مصر و سوريا فلسطين العراق اليمن السعودية سوريا لبنان ...و كمثال على ذالك ايدي كوهين من لبنان.....و النصف الاخر ينقسم لقسمين يهود السفارديم و هم يهود شمال افريقيا اي يهود ليبيا و المغرب و تونس والجزائر...اضافة ليهود الحبشة ....اما يهود اروبا الشرقية المعروفون بيهود الاشكناز فهم قلة و هم ايضا من اروبا الشرقية و ليس الغربية....يعني يا عديم الكرامة من تظن ان اسرائيل مثل المانيا فاعلم ان اسرائيل مثل السعودية و ليس مثل المانيا او انجلترا يعني و انت تكتب و تتغزل في اليهود اليهودي الان ينظر لك باحتقار يعني انت تذل نفسك لمصري و اثيوبي و مغربي و فلسطيني و عايش في وهم انك تتمسح بدولة اروبية حتى ربما تحصل على فرصة عمل في اسرائيل انا ساصدمك اي الذليل عديم الكرامة ....ببعض المعلومات 
1- ان اسرائيل دولة يهودية و لا تقبل اي شخص غير يهودي و ان اغلب يهودها من شمال افريقيا و الشرق الاوسط و الحبشة و شرق اروبا...و ان قصة المسلمين للي في اسرائيل هم في الحقيقة الفلسطينيون الذين نجو من مجازر اليهود و ليسو مسلمين هاجر الى اسرائيل و هؤلا المسلمين و المسيحين الفلسطنين و ما يعرفون باسم عرب 48 ستسحب منهم اسرائيل الجنسية بعد صفقة القرن و سيصبحون تابعين للسلطة الفلسطينية
2-ان اسرائيل ممتلئة بالسكان لان مساحة فلسطين التاريخية مساحة صغيرة و بها قرابة 16 مليون نسمة بين اسرائيلي و فلسطيني...لذالك اسرائيل لن تقبل اي عمال من الخارج بل ستسعى لتشغيل اسرائيلين في مشاريع خارج اسرائيل (مثل ما تفعل الصين)
3- ان اول بشائر التطبيع بين السودان و اسرائيل هو فرض على السودان التنازل عن نصف حصتها من مياه النيل 
4- ان من بشائر الحب بين مصر و اسرائيل ان مصر اشترت 15 مليار دولار غاز ملوش اي لزمة من اسرائيل (يعني مصر من دفعت لاسرائيل و ليس العكس) كذالك مولت بناء سد النهضة كذالك زودة اثيوبية بمضادات و صواريخ لحماية السد....اضافة لمشروع ستعمل عليه لانشاء مطار كبير في السودان على البحر الاحمر سيخفض من عائدات قناة السويس
5- ان من بشائر التعاون بين اسرائيل و الامارات ان اسرائيل ستنشئ منطقة حرة على البحر الاحمر ستجعل دبي تفلس ...خاصة ان نفط دبي نفذ اضافة الى اننا خلال بضعة سنين سندخل مرحلة تراجع النفط
6- ان من بشائر التعاون بين اسرائيل و السعودية ان اسرائيل الان تجري مفاوضات سرية لعقد اتفاق مع ايران ....
---------------------------
من اذل نفسه لليهود يستاهل ان اليهود يغتصبوه",QQyTqOGkBpE,2020-02-18T10:13:00.000Z,none,0
328,يعني حسب كلامك  الفقير ولي مالوش ظهر توقفوه ولي لو ظهر  مابتقدروش عليه وممكن هو لي يوقفكم!!؟  وده العدل  في نظرك.... ده انت مسخرة فعلا يا تسيب الكل يا يتوقف الكل....,mg_nFaZsKZM,2020-02-18T10:09:57.000Z,none,0
329,الحمدلله دائما وابدا يارب,IDbLSGAO9S0,2020-02-18T10:02:47.000Z,none,0
330,رجل محترم وابن ناس ومتقف الله ينتقم منك يااللي حرام نناديك باسم غالي على المسلمين والله ما تستاهل القيمة اللي أعطاك الراجل حشى لله ربنا اسيب الراجل  الطيب من غير ما ياخد حقو,4fV_xqOrnG0,2020-02-18T09:43:02.000Z,none,1
331,انخفاض للمستوى الفكرى والاخلاقى والفنى..,vOh7FtzLj-M,2020-02-18T09:40:21.000Z,none,1
332,"شويه عيال سبرسجيه
ياعم روح شوفلك شغلانه
تانيه كل عيش منها هي 
البلد ناقصه قرف",Vf6H7PSxjFg,2020-02-18T09:39:57.000Z,none,0
333,محمد رمضان ناجح وحقق اللي ماحققوث هاني شاكر حياتو كلها. وفي فترة وجيزة من الزمن. .لذلك هاني حاقد عليه. ...,mg_nFaZsKZM,2020-02-18T09:36:54.000Z,none,2
334,جد هيدي الغنية مشهور كتير عنا في ألمانيا 🤒🤒,vOh7FtzLj-M,2020-02-18T09:32:57.000Z,none,0
335,ههههه كاتب البغل,Xyn1JqdTtc0,2020-02-18T09:26:34.000Z,none,0
336,ايه ده محمد فؤاد,zYqcOpSQ69s,2020-02-18T09:25:52.000Z,none,0
337,ممكن مسرحية هاللو شلبي,6V5GfHACjlI,2020-02-18T09:25:15.000Z,none,2
338,ولاون,F-82wVejfI8,2020-02-18T09:22:14.000Z,none,0
339,الهضبه رقم واحد في مصر والوطن العربي بلا تامر حسني بلا حماقي,MxzIXuLjGCs,2020-02-18T09:17:16.000Z,none,1
340,هو فين خدش  الحياء الى تكلم عليه عمرو اديب  وهانى شاكر ... عشان يوقفوه عن العناء .... غعنية عادية زى اى الاغانى الشعبية  المصرية ...؟؟؟؟؟؟؟؟؟؟,vOh7FtzLj-M,2020-02-18T08:56:35.000Z,none,0
341,ايه الغيبه دي ايه الخيبه دي الله يقرفك,vOh7FtzLj-M,2020-02-18T08:52:00.000Z,none,0
342,كانت هتهدالمصرح $$,zBss1k45Nlw,2020-02-18T08:48:36.000Z,none,0
343,الحلقه دي اسمها اي,RcKW5wF5Zbc,2020-02-18T08:47:36.000Z,none,0
344,محمد رمضان سرطان  يدمر جيل بالكامل .ويجب العلاج منه .وفعلا يجب الدولة تحمى أبناءنا.,mg_nFaZsKZM,2020-02-18T08:43:54.000Z,none,1
345,نجيب تورته لمون       منجبهاش.    وعجبي.,VGHZUPcG4Ec,2020-02-18T08:36:36.000Z,none,0
346,"۞الشيخ الروحاني ابو محمود 00963955455366 لفك السحر وجلب الحبيب  حل مشاكل العديد
من الاشخاص شابات و شباب و ساعدناهم في ايجاد الحبيب و شريك حياتهم كما قمنا بمساعدة
الكثيرين في استرجاع أزواجهم وعملنا على استقرار الكثير من العائلات, فهناك الكثير
من الاشخاص لاهم لهم فقط تدمير العائلات و تنفير الاحبة عن بعضهم البعض و ابعاد المحبين
و خلق المشاكل بين الازواج و بفضل الله قمنا بمساعدة الكثيرين من تخطي المشاكل التي
يعانون منها في حياتهم بطرق نورانية  وروحانية
. و لقد وقفنا في طريق الدجلة و المشعوذين الذين يقومون بتدمير العلاقات بين الاحبة
و الازواج و نقوم باصلاح ما افسده الحساد و الحاقدين. علاج فيروس كورونا باذن الله  فلا تتردوا بالتصال بنا .للتواصل الشيخ ابو
محمود 00963955455366",6V5GfHACjlI,2020-02-18T08:33:00.000Z,none,0
347,"نفس البلد إلى خرجت عبد المطلب،الكحلاوي، محمد فوزي،عبد الوهاب ، عبد الحليم، فريد الاطرش، نفس البلد إلى الفن الشعبي الي أبدع فيه محمد رشدي و الي  كان العزبي بيغزل وبيغازل اللفظ مش"" احنا الإتنين قاطعين"" حتى متقال لما غنى الفراولة، لف بيها العالم وشرف مصر. ايه ده ؟ وكمان في التلفزيون؟",vOh7FtzLj-M,2020-02-18T08:24:33.000Z,none,0
348,اتغيرت صوت وشكل فين آمال ملكه الاحساس,6V5GfHACjlI,2020-02-18T08:19:16.000Z,none,1
349,آلمـقدمـه شـلون تحمـلت وبقت گآعدهہ😂😂😂آني مـن يمـي آهہز💃💃💃💃😂😂,vOh7FtzLj-M,2020-02-18T08:17:21.000Z,none,0
350,ارتحنا منهم الله يلعنهم بيوت ايه اللى فتحنها دة انتوا خدتوا فلوس بالنوبة,eeWW-g_LHo4,2020-02-18T08:13:58.000Z,none,1
351,شعرت بنشوة داخلية غريبة عندما بدأت الموسيقى السريعة,MciVwugKg4g,2020-02-18T08:13:26.000Z,none,0
352,يا جماعة لا يفل الترند الا الترند. طبعا عمرو دياب,MxzIXuLjGCs,2020-02-18T08:08:41.000Z,none,0
353,يا فنان انت حامي الشرف و الفضيله. اقفل كل حاجه و اللي عايز يغني في الدش و هو بياخد شاور لازم ياخد تصريح من حضرتك و مختوم بختم النقابه. بلاش تسيب يا راجل و طبعا لازم تقفل الفيسبوك و تويتر و اليوتيوب و ساوندكلاود و الشباك و البلكونه و اي حاجه. اقفل يا فنان اي حاجه تلاقيها. انت اللي عارف مصلحة الشعب ده لاننا قصر و متخلفين و انت الوحيد اللي عارف مصلحتنا يا اخ يا كبير يا حامي الحمي. و بالمره لازم النقابه تراقب موبيلاتنا و تشوفنا بنسمع كول تون ايه لحسن اخلاقنا تبوظ. اقفل و امنع شعار المرحله. بالتوفيق يا فنان.,mg_nFaZsKZM,2020-02-18T08:08:36.000Z,none,0
354,تسلم يااستاذ هانى ربنا يكرمك,eeWW-g_LHo4,2020-02-18T08:08:05.000Z,none,2
355,ضوضاء,vOh7FtzLj-M,2020-02-18T08:06:57.000Z,none,0
356,حرررررام عليكم منكم لله تعبتونا,eeWW-g_LHo4,2020-02-18T08:06:56.000Z,none,2
357,اصل من كتر شهرة الاغنيه استفزاتهم قالوا يقعدوهم ف البيت يمكن يظهروا هما تاني واضح جدا اشمعنا دلوقتي وقفنو المهرجانات,Vf6H7PSxjFg,2020-02-18T08:02:07.000Z,none,0
358,ما انت يا عمر كمال مدام انت ملحن شاطر ما تفضل بالتلحين ليش الاسفاف والقذارة اللي طلعت منكم بالمخدرات والحشيش هي العالم ناقصة ؟ بس السؤوال وين كان هاني شاكر لما طلع البجح محمد رمضان وقال مافيا ؟,Vf6H7PSxjFg,2020-02-18T07:56:32.000Z,none,0
359,الا محمد رمضان غصب  عن الكل رح يغني فليش المزايدة يا جماعة,Vf6H7PSxjFg,2020-02-18T07:54:03.000Z,none,0
360,بصراحه أنا ضد انو يكون في نقابه مسؤول عنها حد عمرو 70 سنه هيك بالآخر راح تكون نتيجه القرارات والأهم في كل الحالم في جريه في الغناء الي مابحب شي مايسمعونه ، اعتقد عندهم مشكله ضد أغاني المهرجانات لانها راح توقف سوقهم ، ومش مشكلتهم انو الناس حابه غناهم ومش حابه الغناء الموجود والفنانين الموجودين ويسمو حالهم فنانين ، الإنسان حر يسمع الي يريحو على كلا بطلع اكثر من هيك من دولدكتاتوريًه في  كل شي حتى في الفن,Vf6H7PSxjFg,2020-02-18T07:52:53.000Z,none,0
361,"هالمذيع بالع راديو
يخرب بيتك اترك فرصة للضيف يحكي",wcW1_SbgHZM,2020-02-18T07:52:30.000Z,none,0
362,أصلع لعين لا مبدأ ولا دين....,QQyTqOGkBpE,2020-02-18T07:51:24.000Z,none,0
363,فن هابط,vOh7FtzLj-M,2020-02-18T07:45:39.000Z,none,0
364,"هو انا عمري ما كنت مع الاغاني والمهرجانات والكلام ده.. لكن مش عارفة ليه حاسه الولد ده فعلا محترم.. كلامو هادي كده ومش مستفز زي بعض الناس... 
ربنا يهدينا يارب ويبعدنا عن المحرمات ❤",Vf6H7PSxjFg,2020-02-18T07:36:21.000Z,none,0
365,انا بجد باحبك بجد شكرا شكرا,vOh7FtzLj-M,2020-02-18T07:34:41.000Z,none,0
366,🤩🤩,vOh7FtzLj-M,2020-02-18T07:34:15.000Z,none,0
367,العيب مش من العربجيه الي بتغني  ومصدقه نفسها   العيب علي الناس الي زوقها وقع في الارض,vOh7FtzLj-M,2020-02-18T07:28:29.000Z,none,0
368,المذيع يريد ان يجعل الشعب يتعاطف مع هؤلاء المغنين الهابطين ماهو هدفه!!!!؟؟؟,mayyFofckUE,2020-02-18T07:26:58.000Z,none,0
369,تحس أن الفرقه كلها بتاعت شوارع,vOh7FtzLj-M,2020-02-18T07:19:10.000Z,none,0
370,حق خروجك سيدي اللهم عجل به فإن الدنيا قد خبثت . اللهم صل على محمد وال محمد,vOh7FtzLj-M,2020-02-18T07:17:14.000Z,none,0
371,ايه دا الاوراق انا عايش في امريكأ كله باالجهاز الكمبيوتر مفيش الكلام دا خالص انتم فين عايشين لاحولا ولاقوة الاباالله ،،دول الخليج الي بدون حضارات وعمرها اقل  من عمر مصنع  بسكويت ابو ولد  و مصر كان لها اىدور في نمو الخليج ومصر هي  درستهم وتقفتهم وعلمتهم زي الناس بجميع المجالات بيتعاملو كله بالكمبيوتر  فضحتونا ،،،,yGc7zEnZlew,2020-02-18T07:10:38.000Z,none,0
372,سايبين الكلام القزر اللي بيتقال والناس السرسجيه وماسكين في دول,Vf6H7PSxjFg,2020-02-18T07:03:07.000Z,none,0
373,كلمات جيده ماعدا خمور وحشيش لا تجوز شرعًا ولا ادبا.,vOh7FtzLj-M,2020-02-18T06:34:45.000Z,none,0
374,اغنيه معفنه كلمات ولحن وصوت معفن فين اغاني مصر زمان,vOh7FtzLj-M,2020-02-18T06:32:27.000Z,none,0
375,عينو مرتضى منصور نقيب الموسيقين 😷😁 بدل هاني.,mg_nFaZsKZM,2020-02-18T06:32:20.000Z,none,0
376,قمة التفاهة والانحطاط.... كلنا زمان نسمع الأغاني  والفنانين المحترمين عمرو دياب وهاني شاكر وام كلثوم وعبد الحليم وحمادة هلال وتامر حسني ولا ننسي نقيب الفنانين (😂😂😂شاني هاكر)....,vOh7FtzLj-M,2020-02-18T06:29:38.000Z,none,1
377,أغنية وحشة جدا وصوته اوحش ايه القرف ده,vOh7FtzLj-M,2020-02-18T06:19:32.000Z,none,0
378,كل اللي بيصير حقد وحسد ليش الراجل ذا حقق شهره مش طبيعيه  تحدى جميع الفنانين حققو اللي حققه مشاهدات فيديوهاته يعني ناجح الراجل ذا فلا داعي للحسد والحقد,mg_nFaZsKZM,2020-02-18T06:11:52.000Z,none,1
379,ايش الحسد وايش الحقد على محمد رمضان مفروض تفخرو فيه  انسان شعبيه بالوطن العربي وخارج الوطن العربي ليش زعلانين لانكم ماحققتو شي من اللي حقققه بالشهره والشعبيه,mg_nFaZsKZM,2020-02-18T06:09:42.000Z,none,1
380,لما حكاله مين اللي يتكلمله فات في الحيط وغير كلامو  .. شكلو مدعوم محمد رمضان,mg_nFaZsKZM,2020-02-18T06:02:21.000Z,none,0
381,ايه المضحك ؟,fiRQ0muYc6c,2020-02-18T05:55:21.000Z,none,0
382,ماهو المستوى الفن المصري مع احترامي هابط يعني وقفت على محمد رمضان وليش هالزخم الاعلامي والتكالب عليه مو فيه فنانين اهبط منه ولا يمكن عشانو ممكن اي حاقه عايزها يوصلها وبينجح فيها فهذا الي خلا الناس تتغاض منه,mg_nFaZsKZM,2020-02-18T05:50:42.000Z,none,0
383,دخلت اشوف  الاغنيه تقول ايه وشكلها ايه   حتى لا اكون مغيب عن الواقع فصدمنى عدد المشاهدات اسال الله العافيه,vOh7FtzLj-M,2020-02-18T05:36:18.000Z,none,0
384,https://www.youtube.com/channel/UCshVSZC9t4l9fjejxzoz-XA,Vf6H7PSxjFg,2020-02-18T05:34:46.000Z,none,0
385,روح في ستين داهيه انته والذباله دي,Vf6H7PSxjFg,2020-02-18T05:34:35.000Z,none,0
386,"مين داة ياناس الا بيغني........
ربنا يريحنا بقا من الأغاني دايت",vOh7FtzLj-M,2020-02-18T05:32:33.000Z,none,0
387,وجيين على حسن شاكوش الغلبان ياخي كسمكم نقابه,mg_nFaZsKZM,2020-02-18T05:31:52.000Z,none,2
388,شووو هالصوووت,vOh7FtzLj-M,2020-02-18T05:30:03.000Z,none,0
389,1:32 مطربة بدها تغني مع حجاب ما بتزبط .. ف لازم انك تخلعي الحجاب برافو عليكي 💔🙂,lmNNjAGjQaU,2020-02-18T05:24:40.000Z,none,0
390,الغاني المصرية صارت هابطه مع الاءسف 😥 بس تامر حسني محافض علئ غنيه المصرية 😍,mg_nFaZsKZM,2020-02-18T05:19:51.000Z,none,0
391,الاغنيه حلوه اوي,6V5GfHACjlI,2020-02-18T05:16:07.000Z,none,1
392,لون مقبول احسن شوية من الهبد بتاع المرجانات بس هو عايز موزع يظبط وهتظبط,vOh7FtzLj-M,2020-02-18T05:15:28.000Z,none,1
393,"📲*00212.679.620.248* *Whatapps*📲
الــيــكـــم رقــم الــدكــتــور👨‍⚕️ الإخــتــصــاصــي الــلــي أعــطــانــي الــعــلاج الــطــبــيــعــي😄 لــصــغــر الــقــضــيــب
ضــعــف الإنــتــصــاب✅ ســرعــة الــقــذف ✅ الــضــعــف الــجــنــســي ☑الــمــنــتــجــات مـتـوفـرة فـقـط بــالــســعــوديــة🇸🇦 وقـطـر🇶🇦 والإمــارات🇦🇪 والــعــراق🇮🇶 ولـبـنـان🇱🇧 والأردن🇯🇴 والـكـويـت🇰🇼 والـبـحـريـن🇧🇭 وســلــطــنــة عــمــان🇴🇲
أطـــلـــبــــهـــــا الان📲*00212679620248* *whatapps*📲الـدفـع عـنـد الاسـتــلام🤝",1e2WLbtSG0g,2020-02-18T05:07:52.000Z,none,0
394,انحطاط فكرى واخلاقى,vOh7FtzLj-M,2020-02-18T05:00:08.000Z,none,1
395,انت قليت من نفسك اقسم بالله لما دخلت في السكه دي وشبهت نفسك بالناس دي ..,Vf6H7PSxjFg,2020-02-18T04:37:24.000Z,none,0
396,"مـــين🥰 يـــرحـــب🥰 بـي🥰 يــــضغـــط لايــــك🥰ويــــراســنـي خـاص واشـــترك بـقـنـاتـــي
  الــواتــساب*00
34603343635*💋💋💋",V_hlKS5BJzQ,2020-02-18T04:20:36.000Z,none,0
397,يعنى انا اسئل فنان بقالو ٣٥ سنه بغنى مزيكا مختلفه و اغاني عايشه معانا لغايت دلوقتى انت مش بتغير من مهرجانات ؟,t-ApoTsciog,2020-02-18T03:58:19.000Z,none,2
398,كلامه منطقى جداااا,Vf6H7PSxjFg,2020-02-18T03:46:09.000Z,none,0
399,انتي ليه حبيتي الشخص الزباله ده عره الرجاله اللي يشهر بمراته ام عياله ... ده في ناس بتتمني تخلف بس طفل وناس تانيه نفسها تخلف ولد ... الله يخرب بيته,HQqTharHvPc,2020-02-18T03:26:10.000Z,none,0
400,لعن الله المتشبهين بالنساء تركيب الاكستنشن حرام,Ir1dk1RS0fk,2020-02-18T03:24:12.000Z,none,0
401,تركيب الباروكه حرام لعنه المتشبهين بالنساء,zNpNMbDve2A,2020-02-18T03:23:39.000Z,none,1
402,لعنه الله المتشبهين بي النسيء😪😣😞,f2WMlelhTyQ,2020-02-18T03:22:10.000Z,none,0
403,بسم الله تبارك الخالق,pqTAui8jr3I,2020-02-18T03:20:07.000Z,none,0
404,اخويا المحترم بزياده عمر كمال المحترم بزياده,DUbBPyPVOXU,2020-02-18T03:19:58.000Z,none,1
405,المرأة اللي ماتخلف بتكون مقهورة والله,bBjkUOpH8io,2020-02-18T03:18:33.000Z,none,0
406,فترة حضانة الفيروس ٢٤ يوم والحكومة حجرت عليهم ٩ ايام فقط,MRN_AghHhPg,2020-02-18T03:16:04.000Z,none,1
407,معر......,MRN_AghHhPg,2020-02-18T03:12:42.000Z,none,0
408,يعنى انتى بعد ما اتحفتينا برأيك راجعة تقولى فى الاخر دى وجهة نظرى ومينفعش اقولها ع الهوا....انتى مدركة اللى بتقوليه ولا عبيطة,49uPskKOO5w,2020-02-18T02:55:45.000Z,none,0
409,الناس سابت مشاكل مصر كلها ومسكت في محمد رمضان,mg_nFaZsKZM,2020-02-18T02:54:37.000Z,none,1
410,https://www.youtube.com/watch?v=YJvioeSSCd0&feature=shareعمرو دياب الجديد,HTFcV0X5VVA,2020-02-18T02:54:18.000Z,none,0
411,لاصوت ولاشكل ولافرقه ايه العك ده,vOh7FtzLj-M,2020-02-18T02:23:57.000Z,none,0
412,اسمه محمود زي اسمي عشان كده راجل  طيب,WFELZgXh-So,2020-02-18T02:23:03.000Z,none,0
413,نقابه فشله وعمرو أديب فاشل وهاني زباله الحيوانات احسن منكم,Vf6H7PSxjFg,2020-02-18T02:09:48.000Z,none,0
414,انتو لي محسسني اني محمد رمضان بيغني اغاني سكس ما بيغني اغاني زي ما كلو بيغني . لا والناس اللي زعلانه انه بيطلع عريان طب علي الاقل ده راجل مش ست المفروض تشتمو علي الستات والبنات اللي بتقلع واللي بيطلعو وبيعملو الكليبات بي قمصان النوم . وله دول علي راسهم نقش الحنه وبيدخلو المزاج بجد انتو بقيتو ناس بغل وغيره,mg_nFaZsKZM,2020-02-18T02:07:58.000Z,none,0
415,شؤ هل تفاهة,vOh7FtzLj-M,2020-02-18T01:58:54.000Z,none,0
416,ظلمت نفسك لما غنيت مع شاكوش.  لانك محترم وصوتك جميل,Vf6H7PSxjFg,2020-02-18T01:43:35.000Z,none,0
417,خراب بيتك يا حلمي يا بكر زمانو جالو جلطة 😂😂,vOh7FtzLj-M,2020-02-18T01:42:41.000Z,none,0
418,"https://www.youtube.com/watch?v=afjKgdQ0_jA
مهرجان بدون اسفاف",mg_nFaZsKZM,2020-02-18T01:42:40.000Z,none,0
419,"محتوي كوميدي ادعمونا 
اشترك ولايك للفديو 
https://youtu.be/Nzn02ARkLHk",Vf6H7PSxjFg,2020-02-18T01:41:30.000Z,none,0
420,ده كمين علشان ياخدوا فلوس من مطربين المهرجانات,eeWW-g_LHo4,2020-02-18T01:39:34.000Z,none,5
421,اصاب بالغضب عندما ارى دولة تاريخها باﻻف السنين.. ولها عباقرة في كل مجال..  النقابة سيدي المحترم تتكلم بلسان من تمتلهم بقطاع من القطاعت مهن ..عمالة..موظفين وغيره..ولكن ﻻ حق لك في منع شخص او التقليل من عمله او التدخل فيه وهو ﻻ ينتمي اليك هناك مؤسسات دولة اما النقابة فهي لسان المنخرطين وادا اختلط عليكم اﻻمر ارجعو الى اﻻصل اي اصل النقابة العالم يتطور وانتم في حلقة من يعرف يغني ومن ﻻ ..هي حرية .. ومن انت لتقيم عمل غيرك؟,mg_nFaZsKZM,2020-02-18T01:30:01.000Z,none,1
422,عمر الدولة دية ميتصلح حلها,yGc7zEnZlew,2020-02-18T01:22:32.000Z,none,0
423,وكمان عليها الصلصة الفاجره 😂😂😂😍😘,GCD66GVS5c8,2020-02-18T01:22:21.000Z,none,1
424,ايوا يا شكوش يا جااااااااااااامد,vOh7FtzLj-M,2020-02-18T01:20:31.000Z,none,0
425,الله ينور عمرو اديب ذكي ف ردك لانه عايز يكسب عطف ناس بس لازم حملة كبيرة من اصحاب الذوق الراقي ودعوة لعودة الفن الجميل واهتمام ف اذاعة وقنوات واهل الفن,Vf6H7PSxjFg,2020-02-18T01:15:31.000Z,none,0
426,"بتجيب سيرة كهربا الهارب من النادي اللي بتتكلم علية وبتشيد بية
انت شايف ان اللي عملة كهربا صح يبقى متجبش سيرتة دة لاعب خاين فاشل زي ما النقاز خايب واهبل بلاش شغل النسوان دة",8qAM0QgnmCs,2020-02-18T01:12:11.000Z,none,0
427,جميل والله سيبوا الناس تاكل عيش امال يسرقوا يعني,vOh7FtzLj-M,2020-02-18T01:10:37.000Z,none,0
428,والله العظيم موتيني عياط 😭😭😭😭💔💔💔💔,xQ81NkhKy9k,2020-02-18T01:06:36.000Z,none,0
429,انت تنح يا شكيبالا,o5olr26i_xo,2020-02-18T01:02:19.000Z,none,1
430,انا مع استاذ هاني شاكر فعلن لزم يمنهم دو فساد اقسم باالله,9wx9UhWoYIU,2020-02-18T01:01:40.000Z,none,0
431,"الدنيا والإعلام بتاعنا كله. مش وراه حاجه. غير حسن شاكوش. و حمو بيكا. وعمر كمال.  و محمد بيه رمضان  و كزبره و حنجره خلاص يعني. مفيش ماده محترمه تتتكلموا فيها. بدل الإسفاف ده !!!!!!
#فعلا_المطبخ_الغنائي_بقي_كله_حشرات_وفيروسات 🦟🐛🕷🎧🎤🎹🎼محتاجين #بيروسول  يطهر المجتمع من الارف ده
#شابوه_هاني_شاكر👏👏",Vf6H7PSxjFg,2020-02-18T00:58:02.000Z,none,0
432,عندنا بالكويت سخانات كهرباء انتم شنو سخاناتكم ضروري تغيروا النظام هذا خطر والحمدالله كل إنسان ويومه ربي يحفظنا ويحفظكم من كل سؤ قدر الله وماشاء فعل🇰🇼,wOWiHeIZai4,2020-02-18T00:56:46.000Z,none,1
433,طاحو في مول الفول شيكابالا مقود 🤣🤣🤣🤣🤣🤣🤣,o5olr26i_xo,2020-02-18T00:54:56.000Z,none,0
434,مع الأسف عمرو دياب اتغير خالص من وقت دينا الشربيني بس تغير مش للأحسن عمرو دياب ايام زمان كان معلم وكل سنة أو اتنين ميوزك أورد دلوقتي اتغير وبقت كلمات أغانيه زي اغاني تامر حسني امال بتتريقوا على تامر حسني ليه جامدة بس ياروقانك سهران ولابسة فستان وكلنا وقفنا وعملنا وقبلها برده يوم تلات تلات بنات ازاي كده انا من صغري بعشق عمرو دياب بعشقه بمعنى الكلمة خسارة والله زعلت جدا بجد,MxzIXuLjGCs,2020-02-18T00:44:28.000Z,none,0
435,حرام عليك سيب الناس تشتغل شباب غلابه فاتحين بيوت انت سيبت الأفلام والمشاهد اللي فيها والمسلسلات وخلاص دول اللي بينشروا الفجور اتقوا الله بلاش تيجوا علي الغلبان,Vf6H7PSxjFg,2020-02-18T00:43:30.000Z,none,3
436,ده الي يستحق ترند يا مصرين https://youtu.be/gGXHzuSYyBI,9wx9UhWoYIU,2020-02-18T00:43:14.000Z,none,0
437,شئ مقزز,6V5GfHACjlI,2020-02-18T00:42:03.000Z,none,2
438,حد يقول للمذيعة البنطلون هيقطع رجلك وحتت تاني يا مدام 😂😂🧐,vOh7FtzLj-M,2020-02-18T00:40:19.000Z,none,1
439,شكلها اتصالحت وحنت لجوزها السرى تركى😂,6V5GfHACjlI,2020-02-18T00:40:01.000Z,none,2
440,لا مش معاه,mObmMoaByHU,2020-02-18T00:39:09.000Z,none,0
441,ده الهضبه مش بيبص لحد,MxzIXuLjGCs,2020-02-18T00:37:31.000Z,none,0
442,اخر مره يغني فيها ؟ ما حدش عارف يمكن اخر مره تطلع فيها انت عشان نرتاح من نفاقك واسلوبك المستفز ياابو الف وش ووش,DUbBPyPVOXU,2020-02-18T00:33:58.000Z,none,1
